,file_ids,start_times,stop_times,texts,labels
143,Ses01F_impro04_F023,148.5500,152.8500,A resume?,fru
144,Ses01F_impro04_F024,153.1800,155.2925,Yeah.  Do you have a resume?,fru
145,Ses01F_impro04_F025,157.1625,159.7000,No.,fru
146,Ses01F_impro04_F026,161.0787,163.7800,It's kind of helpful when getting a job.,fru
147,Ses01F_impro04_F027,164.3925,167.5650,I just- I mean I call people up and I tell them what I'm good at.,fru
148,Ses01F_impro04_F028,170.8300,172.8400,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,ang
149,Ses01F_impro04_F029,175.2700,178.4300,Yeah.,ang
150,Ses01F_impro04_F030,180.3025,183.4875,I don't like- I don't like sending things in the mail.  I don't want my information out there.,ang
151,Ses01F_impro04_F031,184.4700,188.8700,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",ang
152,Ses01F_impro04_F032,189.1200,192.0200,I'm there in front of them.  I'm telling them what I'm good at.,ang
153,Ses01F_impro04_F033,193.5875,199.4325,"Yeah.  But the piece of paper helps, too.",ang
154,Ses01F_impro04_M000,2.7418,6.6575,Why?  It's a piece of paper.,neu
155,Ses01F_impro04_M001,10.4600,12.1300,"No.  But it has an outline, you know.",neu
156,Ses01F_impro04_M002,15.6400,18.9000,"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",neu
157,Ses01F_impro04_M003,26.9100,28.7100,"I know.  Okay.  Well, um. Maybe--",neu
158,Ses01F_impro04_M004,30.8800,35.5225,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",neu
159,Ses01F_impro04_M005,37.1900,40.5300,Yeah.,neu
160,Ses01F_impro04_M006,40.5400,43.5760,"Okay, yeah.  I would imagine.",neu
161,Ses01F_impro04_M007,49.3900,50.5800,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,neu
162,Ses01F_impro04_M008,55.2100,56.3300,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neu
163,Ses01F_impro04_M009,56.3500,59.0245,"That's baloney, that's baloney.",neu
164,Ses01F_impro04_M010,59.8000,61.5500,Please.,neu
165,Ses01F_impro04_M011,65.9700,69.7700,maybe get a car.,neu
166,Ses01F_impro04_M012,70.3800,72.7264,"I just, you know, think you should try a little harder maybe.",neu
167,Ses01F_impro04_M013,73.7473,77.1500,you think that you're better than me because I don't have a car?,neu
168,Ses01F_impro04_M014,80.1435,87.8100,I didn't say that.,neu
169,Ses01F_impro04_M015,92.3700,99.2700,"You know, you're riding the bus, too.",neu
170,Ses01F_impro04_M016,100.4850,103.4700,"I am riding the bus, but by choice.",neu
171,Ses01F_impro04_M017,104.9700,107.7800,Why?  What choice?,neu
172,Ses01F_impro04_M018,111.6600,117.7250,"To save the environment, carpool.",neu
173,Ses01F_impro04_M019,118.4600,119.7700,You're saving the environment. mmhmm,neu
174,Ses01F_impro04_M020,121.5000,123.4200,Yes.  One less car at a time.,neu
175,Ses01F_impro04_M021,129.4300,139.1600,Interesting.  That's fantastic.,neu
176,Ses01F_impro04_M022,139.5219,141.8225,Mmhmm.,neu
177,Ses01F_impro04_M023,144.9125,149.5100,"You know, you don't have to take out your frustration on me, you know, just because...",neu
178,Ses01F_impro04_M024,151.8400,154.0300,I'm not frustrated.,neu
179,Ses01F_impro04_M025,154.6000,157.8000,...you can't get a job and refuse to have a resume.,neu
180,Ses01F_impro04_M026,158.9500,161.3500,Who do you think you are?,neu
181,Ses01F_impro04_M027,162.1200,164.7825,I don't think I'm anyone.,neu
182,Ses01F_impro04_M028,165.4700,166.7100,You are so high and mighty.  I just--,neu
183,Ses01F_impro04_M029,167.0500,171.4300,I- I-I didn't-- okay.,fru
184,Ses01F_impro04_M030,171.7500,175.2600,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,fru
185,Ses01F_impro04_M031,178.0033,180.8650,What?  No.,neu
186,Ses01F_impro04_M032,182.8200,185.5400,What? Oh.  So now you're...,neu
187,Ses01F_impro04_M033,186.1200,187.4625,"The bus, I'm riding the bus because I want to.",xxx
188,Ses01F_impro04_M034,188.0100,190.7100,you know what?  You don't have to take your anger and your hurt out on me.,fru
189,Ses01F_impro04_M035,191.2800,195.1300,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,fru
190,Ses01F_impro04_M036,200.2150,202.0825,Why not?,xxx
191,Ses01F_impro05_F000,4.2400,5.2300,Hi.,fru
192,Ses01F_impro05_F001,5.2600,7.1600,Hi.  Thanks for waiting.,fru
193,Ses01F_impro05_F002,7.3500,8.8500,Yeah. This is the fourth line that I have been in.,fru
194,Ses01F_impro05_F003,9.2000,13.0200,Can I help you?,fru
195,Ses01F_impro05_F004,13.0400,22.7400,Uh huh.,fru
196,Ses01F_impro05_F005,25.3500,26.7600,I need my bag.,fru
197,Ses01F_impro05_F006,28.2400,29.9100,Okay.,xxx
198,Ses01F_impro05_F007,32.1900,33.5000,"I flew in over three hours ago, I've been in four different lines.",fru
199,Ses01F_impro05_F008,33.7800,35.9000,Okay.,ang
200,Ses01F_impro05_F009,36.7100,44.0300,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,ang
201,Ses01F_impro05_F010,69.5500,73.7600,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,xxx
202,Ses01F_impro05_F011,73.8700,75.5375,Nash.,ang
203,Ses01F_impro05_F012,75.6100,80.7300,Okay.,ang
204,Ses01F_impro05_F013,82.7500,86.0600,No G.,xxx
205,Ses01F_impro05_F014,99.5200,102.9000,all right- okay.  And you lost your bag? Is that- that the issue?,ang
206,Ses01F_impro05_F015,103.0050,118.5000,Yes.,ang
207,Ses01F_impro05_F016,118.5300,122.4400,Flight seven fourteen.,ang
208,Ses01F_impro05_F017,127.4850,136.8500,Uh-huh.,ang
209,Ses01F_impro05_F018,137.7150,140.1100,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",ang
210,Ses01F_impro05_F019,140.2250,145.6000,"Yeah. Yeah, I don't see- I don't see any--",ang
211,Ses01F_impro05_F020,149.3650,153.8000,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",ang
212,Ses01F_impro05_F021,155.6000,160.3600,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",ang
213,Ses01F_impro05_F022,160.4100,163.7975,"Oh, Are you kidding me?",ang
214,Ses01F_impro05_F023,163.8800,165.8000,"for such an inconvenience and your bag, but",ang
215,Ses01F_impro05_F024,166.3300,167.7100,Is this a joke?,ang
216,Ses01F_impro05_F025,171.0900,174.2000,Yeah.,ang
217,Ses01F_impro05_F026,177.6025,179.0900,"No, no.",ang
218,Ses01F_impro05_F027,179.2200,183.8450,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",xxx
219,Ses01F_impro05_F028,188.7800,190.8975,"No, no.  This is real.",ang
220,Ses01F_impro05_F029,195.3800,199.3300,So you'll give me money and then I'll get my bag?,ang
221,Ses01F_impro05_F030,202.8600,206.1700,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",ang
222,Ses01F_impro05_M000,3.6100,5.1900,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neu
223,Ses01F_impro05_M001,5.2100,6.4400,"You're kidding me, this is a joke.",hap
224,Ses01F_impro05_M002,6.6000,7.7100,"Once again, I'm really- I'm really sorry.",hap
225,Ses01F_impro05_M003,8.3200,9.8000,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,neu
226,Ses01F_impro05_M004,12.2600,13.7800,Yes.,neu
227,Ses01F_impro05_M005,21.8400,25.9000,I know.,neu
228,Ses01F_impro05_M006,25.9900,27.7272,We flew in from Paris.  I've been shopping for three weeks.,neu
229,Ses01F_impro05_M007,28.2900,34.1425,"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",neu
230,Ses01F_impro05_M008,34.7000,36.5200,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,neu
231,Ses01F_impro05_M009,36.9100,42.7600,Okay. Calm-,neu
232,Ses01F_impro05_M010,43.8600,49.9700,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neu
233,Ses01F_impro05_M011,49.9700,70.2600,Do you understand who my husband is?,neu
234,Ses01F_impro05_M012,70.3800,73.1400,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",neu
235,Ses01F_impro05_M013,73.5500,74.9900,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",neu
236,Ses01F_impro05_M014,75.0300,76.4800,Oh-Oh.  It's a gift.  You're-You're helping me out here?,neu
237,Ses01F_impro05_M015,80.2200,83.2425,It's a gift.,neu
238,Ses01F_impro05_M016,85.7200,93.9575,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neu
239,Ses01F_impro05_M017,94.0050,100.4000,You are cruising for a bruising.  You are in so much trouble.,neu
240,Ses01F_impro05_M018,100.5500,103.6800,With the amount of--,xxx
241,Ses01F_impro05_M019,111.2800,112.8100,Who's in charge?  Who is the president of Jet Blue?,neu
242,Ses01F_impro05_M020,118.0400,119.3700,"Um, actually, I don't know. I don't know. Oh really?",neu
243,Ses01F_impro05_M021,121.1900,129.2300,Because I probably know him.,xxx
244,Ses01F_impro05_M022,131.0200,133.2500,Yeah.,neu
245,Ses01F_impro05_M023,136.1900,143.5000,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,neu
246,Ses01F_impro05_M024,144.8500,151.1600,"I don't want money, I want my clothes.",neu
247,Ses01F_impro05_M025,151.3350,152.7100,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neu
248,Ses01F_impro05_M026,152.8325,158.5800,What's your name?,neu
249,Ses01F_impro05_M027,159.6600,161.3700,Oh.  My name is Sean. Hi.,neu
250,Ses01F_impro05_M028,163.2500,166.9900,Sean.  Great. Do you have a badge number or something?,neu
251,Ses01F_impro05_M029,167.1500,173.6300,"Badge number?  Uh, no.  You can just take my employee number I guess.",neu
252,Ses01F_impro05_M030,173.7325,178.2625,Okay.  I'll do that.,neu
253,Ses01F_impro05_M031,178.5900,180.8700,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,neu
254,Ses01F_impro05_M032,183.1400,189.3875,I don't think you have done everything you could do because I don't have my bag here yet.,sur
255,Ses01F_impro05_M033,190.2300,196.9000,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",sur
256,Ses01F_impro05_M034,198.6600,205.1700,A letter? I'll make a personal phone call.,neu
257,Ses01F_impro05_M035,205.6300,211.9400,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",neu
258,Ses01F_impro06_F000,14.7939,18.1700,"I'm sorry, Joy.",xxx
259,Ses01F_impro06_F001,24.0200,25.6900,It's okay.,xxx
260,Ses01F_impro06_F002,26.0700,27.6500,Is there anything I can get you?  Do you want me to take care of anything for you or...?,sad
261,Ses01F_impro06_F003,34.4500,35.7800,"No, no, no.",neu
262,Ses01F_impro06_F004,36.0700,38.0400,...pick up anything?,neu
263,Ses01F_impro06_F005,39.6025,46.2900,No.,sad
264,Ses01F_impro06_F006,47.3400,59.3800,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,sad
265,Ses01F_impro06_F007,59.4525,67.4525,That's sweet.,sad
266,Ses01F_impro06_F008,70.2200,80.1300,Thank you.,sad
267,Ses01F_impro06_F009,80.1600,87.7400,I went to see her headstone a week or two ago.,neu
268,Ses01F_impro06_F010,87.8300,93.6700,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sad
269,Ses01F_impro06_F011,101.8300,116.9100,Hmm.,sad
270,Ses01F_impro06_F012,117.0700,126.0400,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,sad
271,Ses01F_impro06_F013,132.9575,134.4900,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,sad
272,Ses01F_impro06_F014,135.9600,137.9500,"this woman came up and, you know, it was hers. It was her person that was there.",sad
273,Ses01F_impro06_F015,138.0685,141.0500,Oh.  She was there?,sad
274,Ses01F_impro06_F016,141.8400,149.4375,"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",neu
275,Ses01F_impro06_F017,158.0800,163.3500,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",xxx
276,Ses01F_impro06_F018,167.6400,174.8400,Mmhmm.,neu
277,Ses01F_impro06_F019,176.3500,178.0100,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",neu
278,Ses01F_impro06_F020,182.5600,197.7300,Yeah.,sad
279,Ses01F_impro06_F021,197.7550,214.3400,I don't know.,sad
280,Ses01F_impro06_F022,217.5000,222.4100,How long were you there for?,sad
281,Ses01F_impro06_F023,223.5200,227.5500,At the cemetery?,sad
282,Ses01F_impro06_F024,229.0800,235.9800,Mmhmm.,sad
283,Ses01F_impro06_F025,237.5300,256.4800,couple hours.,sad
284,Ses01F_impro06_F026,266.5500,275.3100,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",sad
285,Ses01F_impro06_F027,275.3800,281.6000,Oh really?,neu
286,Ses01F_impro06_F028,282.0100,311.1400,You ran through the sprinklers in the cemetery?,sad
287,Ses01F_impro06_M000,11.4600,14.7400,It was hot.[LIPSMACK],sad
288,Ses01F_impro06_M001,18.4900,24.9100,Is it a big cemetery?,neu
289,Ses01F_impro06_M002,25.1200,26.5600,Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,neu
290,Ses01F_impro06_M003,28.9700,35.0200,"Oh, so they're like really old too, really old ones?",sad
291,Ses01F_impro06_M004,56.1700,57.4900,Yeah.,neu
292,Ses01F_impro06_M005,86.9600,88.6300,"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",neu
293,Ses01F_impro06_M006,107.7800,109.2700,"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",neu
294,Ses01F_impro06_M007,125.4700,127.1900,She used to have these poetry parties on Memorial Day.,sad
295,Ses01F_impro06_M008,134.4000,136.4900,Mmhmm.,neu
296,Ses01F_impro06_M009,137.0900,138.4400,Umm. Yeah.,neu
297,Ses01F_impro06_M010,144.0900,145.6800,"And the last time before she died, I remember she couldn't really stand, umm...",neu
