,Unnamed: 0,file_ids,start_times,stop_times,texts,labels
3202,3202,Ses02M_script01_1_M039,302.99,310.24,"All right. But you don't want to be thinking like that 'cause otherwise what did we work for, I mean the whole thing is for you, Chris, the whole shooting match is for you.",ang
733,733,Ses01F_script03_1_F025,221.12,226.87,Don't laugh at me.  I'm being serious.,xxx
4575,4575,Ses03F_script03_2_M033,238.0575,241.35,"Oh, very amusing, indeed. Amanda, listen-",xxx
2650,2650,Ses02F_script03_2_F034,195.94,198.21,"A woman's job is to allure the man.  Watch me a minute, will you?",ang
8884,8884,Ses05F_script03_2_F027,180.52,183.57,Don't be so stupid.,ang
9974,9974,Ses05M_script03_2_M035,198.86,201.72,"You are a vile tempered, wicked living, evil little beast.  And I hope I never set eyes on you ever again.",ang
6211,6211,Ses04F_impro07_M074,337.6681,342.2545,"Oh, oh, I'm sorry, my bad.  I'll have to, like, sign up for summer lessons from you before I go.  You can teach me how to be cool before I go to college.",xxx
2948,2948,Ses02M_impro05_M025,207.03,211.9163,I don't believe you should sue the airline company but we do have a policy uh- in which we can reimburse you and that's all we can do and I'm sorry I've done everything I can-,ang
6874,6874,Ses04M_impro02_F010,103.6062,107.76,I can't do that.  I have to go.,fru
7157,7157,Ses04M_impro06_M015,246.13,252.78,I just wish there was some way to just bring him back to life magically.,sad
621,621,Ses01F_script02_2_F011,94.5325,98.8125,"I'm sorry, it's just fish to me.",xxx
1123,1123,Ses01M_impro05_M006,34.85,37.67,You mean did someone steal it? Do people steal bags?,ang
9552,9552,Ses05M_script01_1b_M008,80.93,87.57,"Well, how do you know she'll marry you?  Maybe she feels like your father does.",fru
9514,9514,Ses05M_script01_1b_F009,97.68,100.12,No.  I figured it was best to leave him alone.,xxx
2689,2689,Ses02F_script03_2_M029,163.27,168.58,Turn it off.  It's driving me mad.,fru
8432,8432,Ses05F_impro08_F033,213.17,214.55,Wow.  I can't believe you're actually admitting to having a problem on your end.  That's a first.,neu
9189,9189,Ses05M_impro04_M036,242.6,245.03,I like to think so.,xxx
6866,6866,Ses04M_impro02_F002,23.61,29.8731,There's really -- there's nothing I can do.,fru
5419,5419,Ses03M_script02_1_M013,99.0616,105.0478,"Honey, this is a natural phenomenon.  It only happens once a year.  I mean think about the people in Kansas, they would have to get hotel reservations and plane tickets to come and see this.  We're only forty minutes away.  This is too good to pass up.",xxx
3963,3963,Ses03F_impro07_M017,92.1833,94.5481,Are you going to come stay in my dorm with me sometime?,sur
7255,7255,Ses04M_impro08_F008,70.53,75.63,Okay.,fru
2275,2275,Ses02F_script01_1_M036,290.27,293.54,"Well, you don't want to think like that.",ang
6442,6442,Ses04F_script01_3_F028,333.61,340.7009,You started to write me.,xxx
5259,5259,Ses03M_script01_1_M044,386.7945,389.8003,I am thinking like that.,xxx
3485,3485,Ses02M_script03_1_F010,55.8532,58.0008,Hello? Hello? What? Wrong number.,xxx
4783,4783,Ses03M_impro03_M021,127.415,136.4228,What? Oh my god.,hap
2960,2960,Ses02M_impro06_F008,135.498,140.6869,"She was with- yeah  She was with Gary, and he said that she was just sitting there and went to sleep, closed her eyes, and that was it.",sad
388,388,Ses01F_script01_1_M001,19.0456,22.3962,To hell with that.,neu
9051,9051,Ses05M_impro03_F003,15.9,19.35,What? you did?,exc
2956,2956,Ses02M_impro06_F004,69.6811,74.42,"I guess we saw it coming and she lasted a lot - a lot longer than, uh, they expected but you know, I mean when it actually happens it's just a lot harder.",sad
3012,3012,Ses02M_impro07_F017,89.16,93.4853,"Yeah. I know, I know.",hap
2540,2540,Ses02F_script02_2_M037,325.06,327.93,"Well, look what we have here.",sad
4395,4395,Ses03F_script02_2_M004,38.7097,41.9475,No.,fru
3761,3761,Ses03F_impro03_M006,35.3225,41.09,Are you serious?,exc
9049,9049,Ses05M_impro03_F001,10.67,12.89,what?,sur
3448,3448,Ses02M_script02_2_M020,191.76,197.31,"No, I know. Me neither.",exc
5684,5684,Ses03M_script03_2_M019,119.6476,122.8324,We might be able to bring up a splendid little debate about this intemperate tots.,neu
1175,1175,Ses01M_impro06_F026,214.6701,217.6415,Yeah.,neu
2129,2129,Ses02F_impro07_M019,110.3312,112.55,"Student. I'm a student. Yes I am, Thank you very much.",hap
1393,1393,Ses01M_script01_2_M013,138.57,142.3975,You above all have got to believe. Just don't stop believing.,fru
2122,2122,Ses02F_impro07_M012,71.3699,74.5199,I always see people walking around with like U.S.C stuff on--,xxx
4453,4453,Ses03F_script03_1_F016,107.73,110.17,"Ooh darling, don't say that.",xxx
4053,4053,Ses03F_script01_1_F014,121.1393,124.3416,"Could he-he's acting just like he did after he died, you know?",neu
6311,6311,Ses04F_script01_1_F029,228.13,230.8,Sit down mom.  I want to talk to you.,ang
3945,3945,Ses03F_impro07_F035,190.1909,192.1616,"Oh, my God. That's--I heard it's top five-- --in the Grauman scale or something.",hap
107,107,Ses01F_impro03_M012,57.46,61.375,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,xxx
1315,1315,Ses01M_script01_1_F037,367.54,370.95,"Well, that's only your business, Chris.",ang
2270,2270,Ses02F_script01_1_M031,249.54,253.71,Must you be inspired?,fru
4779,4779,Ses03M_impro03_M017,106.2307,109.6004,Okay.  I haven't seen you in about two and a half years and I come back and you're getting engaged to somebody you only knew for,hap
6060,6060,Ses04F_impro07_F003,12.18,13.62,My acceptance letter.,exc
8976,8976,Ses05M_impro01_M009,62.93,68.21,I -- there's no way I'd make an exception.,fru
1413,1413,Ses01M_script01_3_F015,177.13,185.63,From her point of view why else would I come?,exc
9942,9942,Ses05M_script03_2_M003,21.11,25.4,"Yes, I did quite a lot.",xxx
4633,4633,Ses03M_impro01_M020,113.372,116.4375,Okay.  I'm going to call security. Security!,fru
4180,4180,Ses03F_script01_2_M011,109.52,112.07,"Why me, above all?",ang
3460,3460,Ses02M_script02_2_M032,268.4566,271.49,"Now that you mention it. No, I don't.",fru
7156,7156,Ses04M_impro06_M014,235.92,239.49,Yeah.,sad
9587,9587,Ses05M_script01_2_F001,10.26,14.01,Why does that bother you?,xxx
9621,9621,Ses05M_script01_3_F000,3.34,6.29,You're the only one I know who loves his parents.,neu
9717,9717,Ses05M_script02_1_M004,62.9,63.97,Not particularly.,xxx
259,259,Ses01F_impro06_F001,24.02,25.69,It's okay.,xxx
2802,2802,Ses02M_impro03_F012,77.0907,80.57,I know Uhm- I can't believe it.  It's like-,exc
9651,9651,Ses05M_script01_3_M002,25.22,26.93,"oh, God I kissed Annie.  I kissed Annie. I can't How long have I waited to do that?",sur
6781,6781,Ses04F_script03_2_M010,57.23,59.56,I think I mentioned once before that I had three minute liquor glasses of brandy the whole evening long.  A child of two couldn't get drunk on that.,neu
7618,7618,Ses04M_script02_2_M021,183.18,196.18,This what?  What is this?  This isn't even anything.,neu
2673,2673,Ses02F_script03_2_M013,77.56,82.4,"On the contrary, a child of two could get violently drunk on only one glass of brandy.",ang
4731,4731,Ses03M_impro03_F012,81.5456,86.9756,American Pie? Ah.,hap
251,251,Ses01F_impro05_M029,167.15,173.63,"Badge number?  Uh, no.  You can just take my employee number I guess.",neu
3520,3520,Ses02M_script03_1_M015,84.8536,88.1727,You remember that awful scene we had in Venice?,exc
7436,7436,Ses04M_script01_2_M019,132.41,138.2511,"What have I got to hide?  What the hell is the matter with you, Kate?",ang
96,96,Ses01F_impro03_M001,6.6,8.66,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,neu
9669,9669,Ses05M_script01_3_M020,192.9,195.77,I lost them.,sad
4863,4863,Ses03M_impro04_M027,201.52,205.9,"My, what I would do was just, you know, what about can you call Harvard and see...don't they have connections?  Don't they have like career center and you can find some stuff that's going on?",fru
7107,7107,Ses04M_impro05_M031,231.28,235.2,"um, you know, I -- this is my bag and I need the hundred and fifty dollars. Please.",fru
8341,8341,Ses05F_impro07_F019,90.67,93.07,That's fine.  You don't have to go to school to live near U.S.C..,xxx
5828,5828,Ses04F_impro03_F015,85.73,90.89,Do you remember up by Yosemite? Yeah.,exc
119,119,Ses01F_impro03_M024,117.36,119.58,She needs a new name each state that we go into. [LAUGHTER],neu
3457,3457,Ses02M_script02_2_M029,229.51,242.45,Yeah?,ang
8579,8579,Ses05F_script01_2_M012,109.58,111.5,"You above all, have got to believe, Joe.",fru
33,33,Ses01F_impro02_F003,32.3075,37.96,"I don't understand.  You've already done so much, I don't know why do you have to go back.",neu
4317,4317,Ses03F_script02_1_M024,160.3477,179.565,For real?,xxx
3909,3909,Ses03F_impro06_M015,232.1626,234.5211,I don't know if Benny was smart like that- but-,sad
4339,4339,Ses03F_script02_2_F001,12.8467,15.925,About what?,xxx
1056,1056,Ses01M_impro04_M003,23.0031,31.9779,"Okay.  You're my friend you can tell me stuff.  You can tell me honestly stuff, okay?  Please.",fru
3404,3404,Ses02M_script02_2_F023,211.61,212.62,I thought you wanted to see them.,xxx
1360,1360,Ses01M_script01_1_M038,394.4,397.08,"Well, you don't think like that.",sad
1026,1026,Ses01M_impro03_M025,152.1,153.25,Good.,xxx
1090,1090,Ses01M_impro05_F011,45.67,49.92,Are you insinuating that I don't have a college education and that- for some reason that makes you a better person than I am?,neu
3328,3328,Ses02M_script02_1_F015,179.74,180.91,"No. No. Of course our flashlight yours and mine. Mi flashlight, es su flashlight, naturally.",fru
2227,2227,Ses02F_script01_1_F033,261.33,264.88,You know.,fru
6270,6270,Ses04F_impro08_M020,188.47,189.8882,I will go ahead and I will take- I will take,fru
568,568,Ses01F_script02_1_M003,20.05,26.65,Do you want my jacket?,xxx
8346,8346,Ses05F_impro07_F024,117.3,119.36,it is going to be so much fun. Yes.,exc
31,31,Ses01F_impro02_F001,19.85,22.78,It's not fair.,sad
2876,2876,Ses02M_impro04_M007,41.6743,54.6257,"maybe - maybe take up painting, I don't know, you know.",fru
29,29,Ses01F_impro01_M013,101.84,107.87,That would - I would appreciate that.  Yeah.,ang
5125,5125,Ses03M_impro08b_F005,49.65,52.01,I know I just need to verify every time.  I'm sorry.,ang
4509,4509,Ses03F_script03_2_F011,87.8625,91.2,"Well, what of it?",xxx
2554,2554,Ses02F_script03_1_F004,21.97,24.23,"Must be them, then.",xxx
321,321,Ses01F_impro07_F016,133.3125,142.3625,Yeah.  Big time.,exc
106,106,Ses01F_impro03_M011,52.92,56.85,Yeah.,neu
3411,3411,Ses02M_script02_2_F030,275.59,280.68,"You were fine during the phone call from Marge, dinner was okay, doing the dishes was no problem, let's see, I took a shower, you watched the news, you said",fru
9321,9321,Ses05M_impro07_M002,9.07,12.1151,"Oh, wow.",exc
2523,2523,Ses02F_script02_2_M020,192.25,197.07,Well.  This isn't anything like I thought anything would be like.,neu
9738,9738,Ses05M_script02_1_M025,230.61,245.07,We didn't see them the first time either.,fru
6621,6621,Ses04F_script02_2_M014,134.6112,136.8876,I want something to turn out the way it's supposed to.,fru
5349,5349,Ses03M_script01_3_M013,124.1675,130.2572,"No, what is it?  Your mother?",xxx
5912,5912,Ses04F_impro03_M046,250.7,256.47,"Oh, I've made her that excited.",xxx
1732,1732,Ses01M_script03_1_M042,289.39,296.0399,Oh you knew there was nothing in that.,xxx
1372,1372,Ses01M_script01_2_F007,74.01,86.77,it's got that about it.,xxx
9016,9016,Ses05M_impro02_M001,17.87,23.57,Where are we gonna go?,sad
7786,7786,Ses04M_script03_2_M028,149.64,151.79,"There are people downstairs, I suppose",neu
1825,1825,Ses02F_impro01_F006,45.0441,50.0436,"No. no  Uh, no one told you that you needed your original birth certificate.",fru
4889,4889,Ses03M_impro05a_F011,71.54,73.33,Okay and this is direct flight?,neu
8122,8122,Ses05F_impro04_M000,10.71,15.63,"Brian, I don't think you have a concept of what I mean by- by money.  I don't mean money like oh, I can't go get my hair and my nails done today, I mean like I can't eat.",neu
487,487,Ses01F_script01_3_F023,212.5813,215.67,"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us.",xxx
7741,7741,Ses04M_script03_2_F036,232.75,235.0415,It's become a habit with you.,ang
5559,5559,Ses03M_script03_1_F011,79.1602,82.2426,That sent shivers up my spine.,xxx
5956,5956,Ses04F_impro04_M005,67.44,69.95,"And you like- you know, you shave your legs and everything?",neu
9607,9607,Ses05M_script01_2_M003,33.79,37.11,But Kate?,neu
1527,1527,Ses01M_script02_1_M029,223.594,238.3125,For real?,xxx
1310,1310,Ses01M_script01_1_F032,308.48,315.05,"Yeah, okay all right, all right.  Listen, um, you know why I asked Annie here, right?",ang
9454,9454,Ses05M_script01_1_F029,263.77,282.02,"The trouble is the God damn newspapers.  I mean every every week a kid turns up, missing like longer than Larry.",fru
9173,9173,Ses05M_impro04_M020,144.34,151.18,I've tried.,ang
5667,5667,Ses03M_script03_2_M002,20.701,27.719,"Adders don't snap, they sting.",xxx
1730,1730,Ses01M_script03_1_M040,280.09,282.94,Very much sillier.,hap
1087,1087,Ses01M_impro05_F008,34.42,36.41,"There's no need for you to raise your voice, sir.",fru
439,439,Ses01F_script01_2_F008,67.48,78.26,How do you know he's even thinking about it?,ang
9368,9368,Ses05M_impro08_F001,31.86,34.84,"Hi, I need- I need some help.  I've been transferred to, like, eight different departments and I've told my problem to every single department, and then they just send me to another one and say they are going to send all my information so I won't have to repeat it, and then that person doesn't know what's going on.  And I've restated my story about eight different times and I just want somebody to help me get my connection back, because this happens every two weeks.  And I want to know what to do to stop it from happening again.",fru
9459,9459,Ses05M_script01_1_F034,325.06,327.23,I'm going to ask her to marry me.,xxx
6864,6864,Ses04M_impro02_F000,9.59,14.13,It's only going to be a year.,xxx
1683,1683,Ses01M_script03_1_F035,256.08,260.4,"Oh you know all those superficial philosophers. We must laugh at them, be flippant.",xxx
2301,2301,Ses02F_script01_2_F017,111.19,114.2492,How do you know why she's waited?,fru
5955,5955,Ses04F_impro04_M004,58.04,59.93,Well yeah I mean I like take a shower and stuff.,neu
3538,3538,Ses02M_script03_1_M033,208.7249,213.5908,As a matter of fact the real cause of that row was Peter Burden.,xxx
4960,4960,Ses03M_impro05b_F022,168.58,170.04,"Well, we can give you um- hotel lodging for a night if that--",neu
3508,3508,Ses02M_script03_1_M003,16.2649,19.1183,Depends on how well we play it.,fea
3128,3128,Ses02M_script01_1_F007,54.41,59.87,I don't know. When it cracked he ran into the house and cried in the kitchen.,xxx
1660,1660,Ses01M_script03_1_F012,69.39,72.7,"Oh, oh, that sent shivers on my spine.",xxx
9166,9166,Ses05M_impro04_M013,92.16,94.54,Yeah.  [LAUGHTER] It's a joke.,fru
8405,8405,Ses05F_impro08_F006,47.2,48.4,"[LAUGHTER] All right.  I'm sorry, sir that you've been having a hard time.",fru
1111,1111,Ses01M_impro05_F032,163.69,166.1,--arriving any time soon.,neu
958,958,Ses01M_impro02_M010,79.18,81.86,You're going with the same ones?,sad
6556,6556,Ses04F_script02_1_M040,282.64,287.02,About what?,exc
6599,6599,Ses04F_script02_2_F040,365.7,372.79,right into my ear so that I could hear them as much as- so that I could feel them as much as hear them.,fru
7582,7582,Ses04M_script02_2_F023,217.4,218.63,"No, we won't.  It's pointless.  It's like waiting up to see Santa Claus.  I feel as though my entire life is going to be spent standing on the beach with my eyes wide open and my hands clasped expectantly waiting for the fish to show up.  And the fish won't show up.",fru
8861,8861,Ses05F_script03_2_F004,31.95,34.54,"I remember it well, covered in diamonds in the worst possible taste.",neu
4398,4398,Ses03F_script02_2_M007,65.8574,78.3647,I want things to turn out the way that they're supposed to be.,fru
5505,5505,Ses03M_script02_2_M004,37.703,41.1886,What?  Do you want me to breathe in your ear?,fru
765,765,Ses01F_script03_1_M025,168.69,176.27,How long did that row last?,hap
2167,2167,Ses02F_impro08_F021,153.6399,162.0139,"So, you will absolutely be in a high rated great hotel and we can make sure that it's in a area of town that you like as well.",neu
3544,3544,Ses02M_script03_2_F005,35.0775,36.6876,No it wasn't. It was very pretty I still have it and I wear it often.,neu
3464,3464,Ses02M_script02_2_M036,300.26,302.62,What have we got here?,xxx
8489,8489,Ses05F_script01_1_F023,207.47,217.98,"Why shouldn't he dream about him, walk around during the night, looking for him um.  Do we contradict him?  Do we say outright that we don't have any hope anymore, that we haven't had any for years now?",fru
6786,6786,Ses04F_script03_2_M015,80.81,82.636,"Not very funny, dear.  You'd better have some more brandy.",ang
311,311,Ses01F_impro07_F006,46.28,55.41,"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",xxx
2835,2835,Ses02M_impro03_M016,94.4412,95.804,"Do you think you'll get a house or something, like you guys are looking to buy some place or",exc
2908,2908,Ses02M_impro05_F016,125.59,127.15,there are- I have important things in that bag. I've got,neu
1569,1569,Ses01M_script02_2_F024,258.56,265.2255,And then we go home and they go home.,sad
590,590,Ses01F_script02_1_M025,163.19,176.2823,For real?,neu
9615,9615,Ses05M_script01_2_M011,111.82,113.93,You above all have got to believe.,fru
9284,9284,Ses05M_impro07_F012,45.35,50.18,"Oh, my gosh.",exc
8221,8221,Ses05F_impro05_M009,66.48,75.1483,"Well, I understand that.  Did you buy flight insurance?",neu
6696,6696,Ses04F_script03_1_M007,34.12,35.86,Yes.  Yes.  with all his might.,exc
9101,9101,Ses05M_impro03_M021,159.07,160.19,"Whoa, right away?.",exc
304,304,Ses01F_impro06_M017,308.24,310.01,Mmhmm.Mmhmm.Mmhmm.,xxx
1595,1595,Ses01M_script02_2_M002,15.9987,21.26,"Oh right sure, of course.",exc
9066,9066,Ses05M_impro03_F018,158.18,159.33,"And she's like- she feels it you know and she doesn't know what it is.  And she you know helps me get out and I won't let go of her hand.  And she's like, what are you doing?  I and said, You saved my life, now will you marry me?",exc
6443,6443,Ses04F_script01_3_F029,340.72,343.9288,You felt something that far back?,xxx
713,713,Ses01F_script03_1_F005,41.17,47.64,It had to happen sooner or later.  What are we going to do?,hap
8223,8223,Ses05F_impro05_M011,87.21,89.47,"Well, my hands are really tied then.",fru
7210,7210,Ses04M_impro07_M007,60.33,67.38,"Ouch.  That's, um -- oh, wow.",hap
80,80,Ses01F_impro03_F012,55.865,58.15,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",hap
3053,3053,Ses02M_impro07_M028,138.7532,146.4511,Yay,xxx
5227,5227,Ses03M_script01_1_M012,110.352,113.4632,Then I guess that's the end of it.,ang
965,965,Ses01M_impro02_M017,131.06,137.74,Run away?,sad
5003,5003,Ses03M_impro05b_M033,238.43,241.61,I will never do business with Delta again.,ang
2236,2236,Ses02F_script01_1_F042,339.26,343.76,"Well, then it isn't just my business--",fru
5072,5072,Ses03M_impro08a_F016,132.0353,134.4212,"That is I am paying you guys for service and I'm not getting any service.  I get, I get just dropped calls all the time and now it's completely not working at all.  I can't even call out, nine one one probably wouldn't even work.",fru
3428,3428,Ses02M_script02_2_M000,3.88,5.86,No.,neu
4561,4561,Ses03F_script03_2_M019,133.39,136.365,You better turn that off.,xxx
92,92,Ses01F_impro03_F024,103.78,108.1825,Oh.  Totally.,hap
7313,7313,Ses04M_script01_1_F006,51.35,58.9,What was he doing out here at four in the morning?,xxx
1957,1957,Ses02F_impro04_F004,48.7571,54.098,"Oh, we're not hiring at this time or thank you, we already have your information on file--We'll call you when we're ready.",fru
7262,7262,Ses04M_impro08_F015,125.23,135.29,"take off the charges that came from like Nebraska or wherever because, obviously, I didn't make those.",xxx
1183,1183,Ses01M_impro06_M005,41.22,44.6825,Mmhmm.,sad
4052,4052,Ses03F_script01_1_F013,100.6119,107.0438,I guess he is.,fru
8522,8522,Ses05F_script01_1_M014,138.49,142.21,"So what, I'm not fast with women.",fru
5606,5606,Ses03M_script03_1_M026,178.39,188.98,It went on intermittently for days.,xxx
2545,2545,Ses02F_script02_2_M042,378.28,380.21,No.  I think you might be right.  Maybe this is the spot after all.,hap
3438,3438,Ses02M_script02_2_M010,78.81,81.01,I want something to turn out the way that it supposed to.,neu
3375,3375,Ses02M_script02_1_M039,264.11,282.9385,Look at me; I'm giving myself goose bumps all my hairs are popping up.,exc
4226,4226,Ses03F_script01_3_M002,32.9895,35.6649,Why didn't you let me know?,xxx
2484,2484,Ses02F_script02_2_F027,218.93,220.14,It's just fish.  Nothing to get traumatized about.,fru
9483,9483,Ses05M_script01_1_M019,157.49,159.75,"Well, that's a good reason.  But that doesn't mean anything at all.  I mean, you haven't seen her in five years.",fru
5851,5851,Ses04F_impro03_F038,193.99,197.96,No.  No browns.,exc
668,668,Ses01F_script02_2_M010,86.15,88.43,I just want something to turn out like I expected it to.,fru
4730,4730,Ses03M_impro03_F011,70.8012,72.2069,Oh like that one movie.  What's that one movie I just saw? No.  Where she like swallows the...,xxx
9529,9529,Ses05M_script01_1b_F024,235.49,239.07,"The trouble is the God damn newspapers, I mean, ea- each week a new boy turns up out of nowhere.  So the next one is gonna be Larry.  So you--",neu
1864,1864,Ses02F_impro01_M021,175.6255,182.0081,"So, if you wanna go get your birth certificate, um, maybe come back--I don't--maybe you can talk to the person in the--in the front of line maybe.  I don't know.",fru
9929,9929,Ses05M_script03_2_F035,212.44,215.45,"Oh, as a matter of fact, that's perfectly true.",ang
1513,1513,Ses01M_script02_1_M015,125.1356,128.46,Don't you want to see it?,xxx
1453,1453,Ses01M_script01_3_M024,259.351,263.97,"For instance, there was this one time when this kid--it had been raining for like several days and he gave me his last pair of dry socks.",sad
9752,9752,Ses05M_script02_2_F005,50.06,57.12,It's P.R. somebody sold you a bill of goods that this magical thing would be happening on the beach.,ang
8732,8732,Ses05F_script02_2_F024,247.62,252.0554,"It's just fish, it's nothing to get traumatize over.",fru
9005,9005,Ses05M_impro02_F015,127.24,132.27,I've tried everything.  I've called everyone I know.  I've tried everything. No one can do anything for me or they won't do anything for me.,fea
8566,8566,Ses05F_script01_2_F017,145.66,147.32,Look.  It's a nice day.  Why are we arguing?,ang
3616,3616,Ses02M_script03_2_M034,188.4489,192.1755,"Amanda, listen. Listen.",xxx
5213,5213,Ses03M_script01_1_F045,411.4559,414.7429,Well I'm just saying--,sad
7816,7816,Ses05F_impro01_F001,14.15,19.49,"ahh Yeah, this is the wrong line.  I'm sorry.  You need to go back over to line two B.  That's where you should have started from.",fru
576,576,Ses01F_script02_1_M011,58.88,65.6016,"No, no.  Okay.  That's not my point.  My point is there is no point in coming down here if we just turn around and go home.  Don't you want to see it?",neu
